str_no_string|,
str_npc14_personalityclash2_speech_b|{Efendim/Hanımım}, otoriteye karşı bu kadar isyan bu birliği zayıflatır. Zaten bir daha bu şekilde davranırsa ona iyi bir dayak attıracağım!
str_npc15_personalityclash2_speech_b|{s11} bana Galenian'ın hiçbir şeyden anlamadığını söyledi. Reis, hiçbir doktor eskilerin üstatlarına bu şekilde saygısızca konuşamaz. Böyle üçkağıtçı bir adamı birliğinizde tutmamanızı öneririm.
str_npc16_personalityclash2_speech_b|Son arbededen sonra, her kuruşunun hesabını yapan bir kız olarak içinde altın olup olmadığına bakmak için düşman leşlerinin göbeklerini yarıyordum. Birisi boğuk boğuk benim bir 'hayvan' olduğumu söyledi..Eğer benimle düzgün konuşmasını öğrenmezse bağırsaklarını da açıp kaçakçılık yapıp yapmadığına bakacağım!
str_npc1_personalitymatch_speech|Patron. {s11} geçen akşam hiç fena değildi. İyi iş çıkardı.
str_npc2_personalitymatch_speech|{Efendim/Hanımım}. Sadece söylemek istedim ki {s11} biraz kaba olabilir, ben de biraz kaba bir maceracı sayılabilirim gerçi ama onu yoldaşım olarak görmekten mutluyum.
str_npc3_personalitymatch_speech|Merhaba, {efendim/hanımım}! Sadece söylemek istedim ki {s11} gerçekten görkemli bir şövalye. Son çarpışmada onu izlediniz mi?
str_npc4_personalitymatch_speech|Pardon, {efendim/hanımım}. Sadece {s11} için birkaç güzel söz söylemek istedim. Son savaşta epey iyi iş çıkardı.
str_npc5_personalitymatch_speech|Bu iyi bir savaştı, {playername} Bahadur! {s11} bir kapışmada yanınızda bulunması iyi olacak bir adam.
str_npc6_personalitymatch_speech|Komutanım. Her ne kadar Kalradya'da barışın sağlanabilmesi için Lordların etkilenmesi ve haydutların hizaya gelmesi gerektiğini bilsem de bazen bu kadar kan dökülmesi beni rahatsız ediyor.
str_npc7_personalitymatch_speech|Şef. Az önce {s11} ile konuşuyordum. Biraz vahşi olduğu doğru, ama aynı zamanda iyi bir de dost.
str_npc8_personalitymatch_speech|Bu iyi bir savaştı komutanım. Söylemeliyim ki {s11} düşmana sataşırken söylediklerini çok beğendim.
str_npc9_personalitymatch_speech|Kumandan. {s11} son savaşta gayet iyi iş çıkardı. Pek hoş, mütevazi bir bakire kendisi.
str_npc10_personalitymatch_speech|Hop kardeşim! Zaferin tadını iyi çıkarasınız! Söylesenize şu yaşlı anne {s11} yaşına göre hiç fena değil, değil mi?
str_npc11_personalitymatch_speech|Ah, reis! Bu son çarpışma eklemlerimi epey gıcırdattı! Yine de düşmanı iyi tokatladık, değil mi?
str_npc12_personalitymatch_speech|Kanlı bir iş, şef, kanlı bir iş; ama aynı zamanda gerekli de tabii. Sanırım {s11}, bu sürekli savaşla ilgili çelişkili hislerimi paylaşıyor.
str_npc13_personalitymatch_speech|Bugün şöhreti hak ederek aldın! {s11} de öyle! O hoşuma gidiyor. Savaşa girerken insanlarının şarkılarını dillendiriyor ki bu benimki gibi sanatçı bir ruha çok hitap ediyor.
str_npc14_personalitymatch_speech|Kaptan. {s11} gibi bir adam yanımızdayken savaşa girmek büyük bir zevk.
str_npc15_personalitymatch_speech|Şef. Az önce {s11} ile son savaşla ilgili konuşuyordum ve o an fark ettim ki o gerçekten aklı başında bir insan.
str_npc16_personalitymatch_speech|Komutanım! Az önce savaş alanındaki cesetleri ayıklarken {s11} ile ayaküstü sohbet ettik.
str_npc1_personalitymatch_speech_b|Kalradya diyarına onun gibi gümüş getirecek temiz kalpli insanlar olmadıkça, bizim gibi hergelelerin hayatı oldukça zorlaşırdı, emin olun. Ben şahsen bizimle olduğu için mutluyum.
str_npc2_personalitymatch_speech_b|En son savaşta yaptıklarına dayanarak söyleyebilirim ki ben arkamı kollaması için ona her zaman güvenebilirim. Ama bir elim yine de cüzdanımın üzerinde olur.
str_npc3_personalitymatch_speech_b|Ben de itiraf etmeliyim ki bence o pek keyifli bir yoldaş. Zeki ve adap kurallarına hürmet eden türden. Belki de, olur ya.... Ah, ne çok konuşuyorum ben. İyi günler, {beyim/hanımım}.
str_npc4_personalitymatch_speech_b|Onu birliğe almakla doğru bir tercih yaptınız. Savaşmakla ilgili tecrübesi var ve şimdi ismini zikretmeyeceğim diğerlerinden farklı olarak silah arkadaşlarına saygı duyması gerektiğinin de bilincinde.
str_npc5_personalitymatch_speech_b|Diğer özelliklerine gelince, ben ne kadar Baron isem o adam da o kadar Baron... Ancak iddiasında ne kadar yüzsüzce ısrar ettiğini görünce insanın takdir edesi geliyor.
str_npc6_personalitymatch_speech_b|Söylemeliyim ki {s11} gerçekten beni rahatlatan bir yoldaş. Ona işlediğim günahın ne olduğunu anlattım ve o da bana eğer gerçekten pişman olur ve affedilmeyi dilersem göklerin bu suçumu affedeceğini söyledi. O bilge bir insan, ve birliğimizde olduğu için mutluluk duyuyorum.
str_npc7_personalitymatch_speech_b|Eğer ileride bir gün, hizmetlerimize artık ihtiyaç duymazsanız; benimle vadilere gelip aşkımı öldüren çapulcuları yakalamada bana yardım etmeye söz verdi. Bu zarif bir teklifti. Birliğimizde olmasından memnunum.
str_npc8_personalitymatch_speech_b|Dört dizelik bir şiire bütün şeceresini, betimlemelerini ve yeme içme alışkanlıklarını sığdırabilmeyi başardı. Ben bir destanı tercih ederdim tabi ama sonuçta biz Nordlar her türlü şiirsel anlatıma hep saygı duymuşuzdur.
str_npc9_personalitymatch_speech_b|Eğer soylu kanı taşıyor olsaydı eline bir buse kondururdum. Bir tüccarın kızı olması ne acı. Ama sefer halindeyken onunla sohbet etmek insanın içini aydınlatıyor.
str_npc10_personalitymatch_speech_b|Heh. İşte bu gençliğin her şey demek olmadığını gösteriyor, tecrübe de savaş kazandırır. Sanırım bu diyarın tıfıllarına öğretebileceğimiz birkaç şey hala var, öyle değil mi?
str_npc11_personalitymatch_speech_b|Bence özellikle ihtiyar {s11} onlara günlerini gösterdi. Çift olarak fena değiliz dedim, aramızda yüze yakın kış görmüşlüğümüzü de hesaba katarsanız.
str_npc12_personalitymatch_speech_b|Davası ne kadar haklı olursa olsun kendi adamlarının canlarını almak onu çok üzüyor. Kalradya'nın sürekli savaş içinde olan krallıklarını birleştireceğimiz ve bütün sıkıntıları tarihe gömeceğimiz parlak bir gelecekten konuştuk.
str_npc13_personalitymatch_speech_b|Her ne kadar çekingen Amazon tipini tercih etsem de, dişil tarafını savaşçı karakterinin altına gizlemeye çalıştığını fark ettiğimi söylemeliyim.. Seferi iken veya kamp halinde biraz soğuk nevale olduğu doğru ancak belki de zarif sözlerim kalbindeki Nord buzlarını eritebilir.
str_npc14_personalitymatch_speech_b|O usta bir asker, ve her ne kadar bazılarından daha yavaş olsa da, savaş hattını disiplinle bir arada tutma bilgeliğine sahip. Onu birliğimize dahil ederek iyi iş çıkardınız.
str_npc15_personalitymatch_speech_b|Savaş, başka pek çok şey gibi çok titiz planlama, stratejik kurulum  ve hazırlık gerektirir. Diğer bütün unsurlar eşitse, en iyi şekilde eğitilmiş ordu savaşı kazanır. Son savaşımızın doğrulayacağı bir gözlem sanırım. Adamlarınız şu anda ona küfrediyor olabilirler ama garanti ederim ona teşekkür edecekleri gün de gelecek.
str_npc16_personalitymatch_speech_b|Hikayesini duydunuz mu? Ona yapılmış yanlışları aklınız alıyor mu? İnsanın kanını donduran şeyler. Ona o kadar kötü davrananların hepsini doğramak istiyorum – eğer bu seyahatlerde karşılaşırsam doğrayacağım da!
str_npc1_retirement_speech|Diyar boyunca oradan oraya koşturmaktan ve başkasının davası adına kan akıtmaktan yoruldum. Ganimet iyi ama sanırım artık yeterince topladım. Köyüme geri döneceğim, bir kadın bulup kendime yeni bir hayat kuracağım. Eğer param yeterse at yetiştirmek istiyorum.
str_npc2_retirement_speech|Bu savaşçı hayatından iyice yorulmaya başladım. Biriktirdiğim parayı kervan mallarına yatıracağım -- kürkler, kumaşlar, ipek, gibi – ve öylece yola koyulacağım. Beni birliğinize dahil ettiğiniz için size çok teşekkür ederim.
str_npc3_retirement_speech|Korkarım size söylemem gereken bir şey var... Bir savaşçı hayatı istemediğime karar verdim. Muhtemelen güzel bir ev kurma fikri için artık çok geç. Benim insanlarım arasından kimse askerlerle beraber bir hayat sürmüş bir kadını kendisine eş olarak almaz, ama sanırım bir tüccar işine girebilecek kadar param var. Umarım kızmamışsınızdır, {beyim/hanımım}.
str_npc4_retirement_speech|Birliğinde bir Rolf Hanedanı evladına yaraşır şekilde şerefle hizmet verdim ancak liderliğinizden memnun değilim. Atalarımın topraklarına, yuvama döneceğim. Hizmetlerime orada çok daha fazla ihtiyaç olacak.
str_npc5_retirement_speech|Bahadur – sizin tuzunuzu aldığımdan beri sizin için gözü kara bir şekilde savaştım. Ancak verdiğim hizmetleri karşılık hak ettiğim liderliği göremedim. Böylece Kağan'ın adamlarının beni unutmuş olduklarını umarak eve dönüyorum,babamı ve kardeşlerimi tekrar görebilme umuduyla...
str_npc6_retirement_speech|Bu birliğe; beni, içinde yaşadığım karanlıktan kurtarabilme ihtimali için katıldım ve gerçekten de burada bir dereceye kadar iç huzur buldum. Ancak liderliğinizle ilgili sıkıntılarım oluştu ve arınmama giden yolu başka bir yerde aramamın da mümkün olduğunu düşünmeye başladım.
str_npc7_retirement_speech|Hiç bitmeyen savaşların olduğu, insanların korku, hırs, şehvet ve daha yüzlerce günah yüzünden kendilerini kaybettikleri bu pis hayattan sıkıldım artık. Kesemde param var. Şimdi gidip denizin diğer tarafında, Kalradya'dan daha yaşanabilir bir diyar arayacağım. Sanıyorum bensiz de gayet iyi devam edeceksiniz.
str_npc8_retirement_speech|Sizin kalkanınızın ardında savaşlara girdim ve ondan iyilik gördüm. Ancak liderliğiniz her zaman hoşuma gitmiyor. Neyse, şu anda başka bir görevim var. Toparladığım ganimetleri alıp ayrılacağım ve kendi birliğimi kuracağım. Ardından Nordland'e yelken açıp kocamın meclisini hain kayınbiraderimden geri alacağım. Kendinize iyi bakın...
str_npc9_retirement_speech|Beraber iyi savaştık ve iyi şan şöhret kazandık. Ancak liderliğinle ilgili bazı çekincelerim var ve her şekilde zaten almam gereken şu miras var. Birliğinden ayrılıyorum, belki ileride tekrar görüşebiliriz.
str_npc10_retirement_speech|Kalradya'da oradan oraya koşturmaktan yoruldum. Bir yerlerde kendime azıcık toprak alacak kadar para biriktirdim, sanırım bu şekilde şansımı deneyeceğim. Buraya kadarmış, iyi şanslar...
str_npc11_retirement_speech|Yaşlı bir kadını birliğine alarak ona çok büyük bir hizmette bulundunuz. Ama korkarım ki bu hayatı bir at arabası kullanmaktan daha fazla sevmediğimi fark ettim. Fazlaca soğuk, açlık ama ardından karşımda gördüğüm koca bir delik. Böylece ayrılıyorum, ama nereye giderim belli değil.
str_npc12_retirement_speech|Birliğinizde iyi zaman geçirdim. Karnımı doyurdum, cebime biraz para koydum ve yaralanmalar üzerine bilgi dağarcığımı genişlettim – Bunlardan şikayet edemem! Ama şu aşamada birliğinizde hizmet veriyor olmak beni alıkoyuyor. Bulgularımı başka cerrahlarla paylaşmak gibi bir görevim var ve bunun için katipler bulmalıyım, ki Kalradya'da katip bulmak çok zor. Yurduma dönmeliyim.
str_npc13_retirement_speech|Sizin isminiz gittikçe daha da çok parıldarken, korkarım benim şöhretim soluklaşıyor. Aynı Ay'ın, Güneş'in doğuşunda soluklaşıp sönmesi gibi. Bundan sonra kendi başıma devam etmeye karar verdim. Size iyi şanslar diliyorum.
str_npc14_retirement_speech|Artık bu iş ilişkimizi bitirmeye karar verdiğimi bildirmek isterim. Alternatif olarak meslek dalları takip etmeye karar verdim.
str_npc15_retirement_speech|Beni birliğe kattığınız için teşekkür ederim, ancak işlerin geldiği noktadan hiç memnun değilim. Buradan gidiyorum – belki eve dönerim, belki başka bir iş bulurum, henüz tam karar vermiş değilim.
str_npc16_retirement_speech|Bu ekiple güzel zamanlar geçirdim ve savaş alanında birkaç incik boncuk toparlayabilmişliğim de var, ancak artık bu bana yetmiyor. Bir başkasına hizmetlerimi sunmak için sizi terk ediyorum.
str_npc1_rehire_speech|Patron, sizi tekrar görmek güzel. Geçmişte tartışmalarımız olduğunu biliyorum ama yine de o zamanlar hayatımda geçirdiğim en güzel günlerdi. Gerçeği söylemek gerekirse, son zamanlarda iş bulma konusunda epey zorlandım. Bakın, eğer beni tekrar birliğine almak isterseniz, size katılmaktan mutluluk duyarım.
str_npc2_rehire_speech|{Beyim/Hanımım}! Sizi tekrar görmek çok güzel. Hatta itiraf edeyim: ben de sizi arıyordum. Söylediğim gibi bir yük dolusu mal aldım, yükledim ve stepleri geçmek üzere yola koyuldum – ancak yine Khergitler tarafından saldırıya uğradım ve elimdeki her şeyi kaybettim. Sanırım para kazanmak için savaşmak benim kaderim. İnsanlar kendinizi epey ihya ettiğini anlatıyorlar. Şimdi söyleyin, {beyim/hanımım}, beni birliğinize geri almak ister misiniz?
str_npc3_rehire_speech|Merhabalar {efendim/hanımım}! Sizi tekrar görmek çok güzel. Korkarım en son yollarımızı ayırdığımızdan beri kendimi pek toparlayamadım. Tüccarlığa girişimde bana yardımcı olacaklarını düşündüğüm ailem, bu işi umduğum kadar hoş karşılamadılar. Teyzelerim kiralık askerlerle dolu bir birliğe katılmakla evlilik şansımı nasıl ortadan kaldırdığım hakkında nasihat vermekten başka bir şey yapmadılar. Belki gerçekten ticaretten çok savaşa ve Veluca halkıyla ziyafetlere değil de kamp ateşinde sertleşmiş eti paylaşmaya daha yatkınım. {Beyim/Hanımım}, beni birliğinize geri alır mısınız?
str_npc4_rehire_speech|Selam şef! Epey zaman oldu. Duyduğuma göre kendinizi ihya etmişsin. Bana gelince, topraklarımdan fayda sağlamakla ilgili sorunlarım oldu – çekirge sürüleri, kuraklık, işe yaramayan köleler, vesaire. Tekrar kılıcı ele alabileceğimi düşündüm. Aramızda sıkıntılarımız oldu, farkındayım ancak tekrar size hizmet ediyor olmaktan gurur duyacağım.
str_npc5_rehire_speech|{playername} Bahadur! Şöhretiniz gittikçe büyüyor – hatta dağların ötesindeki anavatanıma kadar bile genişlemiş. Evet, oraya geri döndüm. Kağanın adamlarının beni hatırlamayacağını düşünerek. Ama unutmamışlar: vadiye daha adımımı bile atmadan ailemden Kağan ve Humyan tarafından arandığımın haberini aldım. Bunun üzerine geri döndüm, söylemiş olabileceğim kaba sözleri unutmuş olduğunu umarak, sizin yanında tekrar savaşa katılabilmek için.
str_npc6_rehire_speech|Sizi görmek çok güzel, {beyim/hanımım}. Nereye gitsem, insanlar yaptıklarınızdan heyecan içinde bahsediyorlar. Sizden ayrıldığımdan beri işlerim pek yaver gitmedi. Nereye gidersem gideyim, şeytanlarım geri dönüyor. Ruhum ıstırap içinde. Tam açıklayamadığım sebeplerden dolayı, liderliğinizle ilgili sıkıntılarım olmuş olsa da birliğinde huzur bulmuştum. Tekrar size hizmet etmeme izin verir misiniz?
str_npc7_rehire_speech|Şef! Sizi görmek ne kadar güzel... Ayrılırken size söylemiş olabileceğim lafları affet. Wercheg'den bir gemiyle ayrıldım, doğuya gidiyordu ama korsanlar tarafından ele geçirildi ve fidyem ödendikten sonra beni tekrar buraya getirip kıyıya bıraktılar. Dünyada Kalradya'dan daha güzel yerler olabilir ama ben daha görmedim. Eh, benim de kaderim burada yaşamaksa, sizin birliğinizde bulunmak bana uyar. Beni tekrar birliğinize alacak mısınız?
str_npc8_rehire_speech|Selamlar olsun size, {playername}. Aramızda geçmiş olabilecek kaba konuşmaların unutulup unutulmadığını merak ediyorum. Yeteri kadar adam toplayıp kocamın meclisini geri almaya girişebilmek için burada, Nordlar arasında geziniyordum. Ama bir gemiyi doldurabilecek kadar bile adam bulamadım. Toparlayabildiklerim de çabucak sıkılıp birliği terk ettiler – bütün birikimimi zevkleri için çarçur ettikten hemen sonra tabii. Sonra yan yana giriştiğimiz eski savaş günleri aklıma geldi. Onlar güzel ve tabii kazançlı günlerdi.
str_npc9_rehire_speech|Çok değerli {beyim/hanımım}! Sizi görmek ne kadar da güzel! Bu diyarın lordlarının hizmetine girmeyi denedim ancak çok acı bir şekilde hayal kırıklığına uğradım. Yarısı, sanki ben bir muhasebecinin ayakçısıymışım gibi gidip başka lordlardan borçlarını tahsil etmemi, yada ben muhtarmışım gibi topraklarını kontrol etmemi istiyor. Hatta bir tanesi benden alacaklısını öldürmemi bile istedi! Ben de sizi aramaya başladım, belki beni birliğinize geri almayı kabul edersiniz diye.
