dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Bu bölgeye bir derebeyi atama işini, beylerimin fikrini alana kadar ertelemek istiyorum.
dlga_lord_talk:lord_ask_pardon_after_oath_renounced|{s66}, {s4} adına olan yeminimi yenilemek istiyorum.
dlga_lord_ask_pardon_after_oath_renounced:lord_pretalk|Bu benim karar vermem için çok büyük bir mesele, {playername}. {s4}'{.i} bulmalısın. Böyle bir müsamahayı sadece ve sadece o gösterebilir.
dlga_lord_ask_pardon_after_oath_renounced:lord_ask_pardon_terms|{s11}.
dlga_lord_ask_pardon_terms:lord_pretalk|İstediğin gibi olsun, {s65}. Kararını kabul edeceğim.
dlga_lord_ask_pardon_terms:lord_pretalk.1|Yazık, {s65}. Yazık.
dlga_lord_ask_pardon_terms:lord_pretalk.2|Pekala, git ve bensiz öl.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace|Tamamdır, hazırım.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected|Tekrar düşündüm de, hayır. Tekrar hizmetinize girmeyi istemiyorum.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace.1|Evet, bu şartları kabul ediyorum.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected.1|Bu çok yüksek bir mebla, {s65}. Reddetmeliyim.
dlga_lord_ask_pardon_after_renounce_peace:lord_pretalk|Fevkalade. Bizden uzaklaşmış olsan da, {playername}, doğru yola tekrar dönmen hepimizin kalbini sevinçle doldurdu. Bu durumda, bana olan yeminini yeniliyorum. Bir kez daha hizmetimdeki onurlu bir {savaşçı/savaşçı} olarak ayağa kalk.
dlga_lord_ask_pardon_terms_rejected:close_window|O zaman yıkıl karşımdan, hain! Defol ve geri gelme!
dlga_lord_talk:lord_ask_pardon|{s4} ile barış yapmak istiyorum.
dlga_lord_ask_pardon:lord_pretalk|Gerçekten mi, {playername}? O zaman git ve kılıcının üstüne atla, hepimiz barış ve huzur dolalım.
dlga_lord_ask_pardon:lord_pretalk.1|{playername}, siz efendisi olmayan, kendi namıyla topraklar yöneten, taht üzerinde en ufak bir hakkı bile olmayan bir {lordsunuz/hanımsınız}. Kalradya'da ki hiçbir kral sizinle barış yapmaya razı gelmez.
dlga_lord_ask_pardon:lord_pretalk.2|Üzerinizde bir üstünlüğüm varken sizinle barış yapmak mı? Hiç sanmıyorum.
dlga_lord_ask_pardon:lord_pretalk.3|Barış yapmayı şuan ki amaçlarım arasında göremiyorum ne yazık ki.
dlga_lord_ask_pardon:lord_truce_offer|Evet... Sizinle savaşmaktan yoruldum. 40 günlük bir ateşkes önerebilirim. Eğer sözünüzde durup topraklarıma ve adamlarıma karışmazsanız, barış konusunu daha sonra tekrar konuşabiliriz.
dlga_lord_truce_offer:close_window|Kabul ediyorum. Birbirimizle şuan için savaşmayı bırakalım.
dlga_lord_truce_offer:lord_pretalk|Tekrar düşündüm de, böyle bir anlaşma benim yararıma olmayacaktır.
dlga_lord_ask_pardon:lord_ask_pardon_2|Hımm... Hatırı sayılır nüfuzumu sana bir af ayarlamak için kullanabilirim, {playername}, ama seni düşman olarak görüyorlar ve sen haraç ödemeden tatmin olmayacaklar. Neticede, {s4} dahilinde arkadaş edinmek istiyorsan, en az {reg16} dinar getirmen gerekiyor.
dlga_lord_ask_pardon:lord_pretalk.4|Sana herhangi bir şey teklif edebilecek durumda değilim. {s7} ile konuşman gerek.
dlga_lord_ask_pardon:lord_ask_pardon_2.1|Evet... Sen ve destekçilerinden daha önemli meselelerim var. Fakat benim tebama karşı kabahatlarin olmuş ve bunlara karşı senden tazminat isterler. Sanırım {reg16} denar karşılığında sana bir af çıkartabilirim. Ne dersin?
dlga_lord_ask_pardon:lord_pretalk.5|Üzgünüm. Senin için bir af çıkartabilecek durumda değilim.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_accept|Paranın hepsi burada. {reg16} dinar.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_deny|Korkarım o miktarda bir meblayı ödemem mümkün değil.
dlga_lord_ask_pardon_tribue_accept:close_window|Bu parayı tebama karşı yaptığın hataları tazmin etmek için kullanacağım. Bundan böyle bilinsin ki artık {s4}nın düşmanı değilsin.
dlga_lord_ask_pardon_tribue_accept:close_window.1|Fevkalade, {playername}. Parayı kullanarak affına karşı çıkacakları ikna edebilirim ve eminim kısa sürede artık {s4} için bir düşman niteliğinde olmadığına dair haberler yayılacaktır.
dlga_lord_ask_pardon_tribue_deny:lord_pretalk|O zaman senin için yapabileceğim birşey yok, {playername}. Para yok, af yok.
dlga_lord_talk:lord_active_mission_1|Bana verdiğiniz görev hakkında...
dlga_lord_talk:lord_switch_to_spouse|Hadi karargahımız hakkında konuşalım.
dlga_lord_switch_to_spouse:lord_pretalk|Bir çatı altına sığınana dek bekleyelim, hanımım. Bu kırın ortasında envanter çıkarmamız güç olur.
dlga_lord_switch_to_spouse:spouse_talk|Elbette.
dlga_lord_talk:lord_request_mission_ask|Benim için herhangi bir göreviniz var mı?
dlga_lord_talk:combined_political_quests|Acaba ülkedeki pozisyonumuzu yükseltmek amacıyla işbirliği yapabilir miyiz?
dlga_combined_political_quests:lord_pretalk|Senin ve benim herhangi bir ortak çıkarımız olduğunu düşünmüyorum.
dlga_combined_political_quests:lord_pretalk.1|Hmm.. Belki de bu konuyu daha uygun bir mekanda, daha sonraki bir tarihte tekrar konuşabiliriz.
dlga_combined_political_quests:lord_pretalk.2|Hmm.. Bir fikrim var, ama bunun için senin ihtilaflardan uzak olman gerekiyor. Eğer bir süre ülkedeki diğer derebeyleriyle ters düşmemeyi başarabilirsen bunu tekrar konuşabiliriz. 
dlga_lord_talk:lord_ask_resign_marshalship|Mareşallikten istifa etmek istiyorum.
dlga_lord_ask_resign_marshalship:lord_pretalk|Nasıl istersen. Bu göreve başka birini bulmam gerekecek.
dlga_lord_talk:lord_ask_enter_service|{s66}, derebeyiniz olmak üzere kılıcımı sunmaya geldim.
dlga_lord_talk:lord_ask_enter_service.1|{s66}, yeminli {adamınız/savaşçınız} olmak ve onurunuz adına savaşmak istiyorum.
dlga_lord_talk:lord_ask_leave_service|{s66}, adınıza ettiğim yeminden azat edilmek istiyorum.
dlga_lord_talk:lord_talk_preoffer|Bir önerim var.
dlga_lord_talk:lord_give_troops|Sana biraz asker vermek istiyorum.
dlga_lord_give_troops:lord_pretalk|Eh, iyi bir grup asker işime yarayabilir. Teşekkürler.
dlga_lord_talk:lord_give_order_ask|Senin için yeni bir görevim var.
dlga_lord_talk:lord_give_suggestion_ask|Size birkaç tavsiyede bulunabilir miyim?
dlga_lord_give_order_ask:lord_give_order|Evet?
dlga_lord_give_suggestion_ask:lord_give_order|Nedir?
dlga_lord_give_suggestion_ask:lord_pretalk|Kusura bakmayın. Tavsiyelerinizi dikkate alacak kadar iyi tanımıyorum sizi.
dlga_lord_give_suggestion_ask:lord_give_order.1|Ne oldu?
dlga_lord_give_order:lord_give_order_answer|Beni takip et.
dlga_lord_give_order:lord_give_order_answer.1|Bani takip eder misin? Bir fikrim var.
dlga_lord_give_order:lord_give_order_details_ask|Şuraya git...
dlga_lord_give_order:lord_give_order_details_ask.1|Şu köyün etrafında yağmaya başla...
dlga_lord_give_order:lord_give_order_details_ask.2|Şurayı kolaçan et...
dlga_lord_give_order:lord_give_order_assault|Beraber, sen ve ben {s11} topraklarını ele geçirebiliriz. Hemen saldırıya geçmelisin...
dlga_lord_give_order:lord_give_order_details_ask.3|Saldırı altındayız, fakat düşman geri püskürtülebilir. Şuraya doğru gitmelisiniz...
dlga_lord_give_order:lord_give_order_details_ask.4|Saldırı altındayız, fakat düşman geri püskürtülebilir. Ordularınızı toplayıp şuraya yönelmelisiniz...
dlga_lord_give_order_assault:lord_pretalk|Bu kuşatmayı {s4} yönetiyor. Onunla konuşmanızı tavsiye ederim.
dlga_lord_give_order_assault:lord_pretalk.1|Henüz hazırlıklarımız tamamlanmadı. Başka bir tane daha {s11} lazım.
dlga_lord_give_order_assault:close_window|Pekala – surlara doğru ilerleyin!
dlga_lord_give_order:lord_give_order_details_ask.5|Şurada çok rahat alınabilecek bir kale var...
dlga_lord_give_order:lord_give_order_details_ask.6|Düşman birlikler halinde geliyor. Şu yöne doğru kaçın..
dlga_lord_give_order:lord_give_order_stop|Sana bir süre ihtiyacım olmayacak. İstediğini yapmakta serbestsin.
dlga_lord_give_order:lord_give_order_stop.1|Artık bana eşlik etmene gerek kalmadı.
dlga_lord_give_order:lord_pretalk|Boş ver.
dlga_lord_give_order_details_ask:lord_pretalk|Arkamı dönüp kaçmak bana yakışır birşey değil, hem de düşmanla gözgöze dahi gelmeden.
dlga_lord_give_order_details_ask:lord_pretalk.1|Diğerleri durup izlerken kalenin dışına çıkıp kanımı öylece dökmemi mi istiyorsun? Pek sanmıyorum.
dlga_lord_give_order_details_ask:lord_give_order_details|Nerede?
dlga_lord_give_order_details:lord_give_order_answer|{s1}
dlga_lord_give_order_details:lord_pretalk|Boş ver.
dlga_lord_give_order_stop:lord_pretalk|Tamam, Burada duracağım.
dlga_lord_give_order_answer:lord_give_order|Bu hiç de uygun olmaz. Senin beni takip etmen daha doğru olur.
dlga_lord_give_order_answer:lord_pretalk|Pekala. Bunu yapacağım.{s12}
dlga_lord_give_order_answer:lord_pretalk.1|Üzgünüm. Şuan kendi işlerimle ilgilenmek zorundayım.
dlga_lord_start:lord_talk.5|Ne var?
dlga_lord_talk:lord_give_order_call_to_arms_verify|Yeni bir sefer başlatmak istiyorum. Orduyu burada toplayalım.
dlga_lord_give_order_call_to_arms_verify:lord_give_order_call_to_arms_verify_2|Yeni bir sefer için tüm lordları çağırtmak mı istiyorsunuz?
dlga_lord_give_order_call_to_arms_verify_2:lord_give_order_call_to_arms|Evet. Düşmanın üstüne yürümeden önce tüm gücümüzü toplamamız lazım.
dlga_lord_give_order_call_to_arms_verify_2:lord_pretalk|Tekrar düşündüm de, herkesi çağırmaya gerek yok.
dlga_lord_give_order_call_to_arms:lord_pretalk|Pekala o zaman. Ulaklar tez elden yollayıp herkese buraya gelmelerini ileteceğim.
dlga_lord_talk:lord_give_order_disband_army_verify|Seferi sonlandırıp herkesin evlerine dönmesine izin vermek istiyorum.
dlga_lord_give_order_disband_army_verify:lord_give_order_disband_army_2|Seferi sonlandırıp tüm lordları görevlerinden azat etmek mi istiyorsunuz?
dlga_lord_give_order_disband_army_2:lord_give_order_disband_army|Evet. Burada artık tüm güçlerimize ihtiyacımız yok.
dlga_lord_give_order_disband_army_2:lord_pretalk|Tekrar düşündüm de, şimdilik beraber kalsak daha iyi olacak.
dlga_lord_give_order_disband_army:lord_pretalk|Pekala, herkese görevlerinden azat edildiklerini bildireceğim.
dlga_lord_talk:lord_talk_ask_something|Bir sorum var.
dlga_lord_talk_ask_something:lord_talk_ask_something_2|Evet? Nedir?
dlga_lord_talk_ask_something_again:lord_talk_ask_something_2|Başka birşey var mı?
dlga_lord_talk_ask_something_2:lord_talk_ask_location|Birinin yerini bilmek istiyorum.
dlga_lord_talk_ask_something_2:lord_tell_objective|Siz ve adamlarınız, ne yapıyorsunuz
dlga_lord_talk_ask_something_2:lord_talk_ask_about_strategy|Ülke ne durumda?
dlga_lord_talk_ask_about_strategy:lord_pretalk|Siz mareşal olduğunuza göre buna sizin karar vermeniz lazım.
dlga_lord_talk_ask_something_2:lord_talk_ask_about_war|Savaş nasıl gidiyor?
dlga_lord_talk_ask_something_2:lord_marriage_permission|{s19}
dlga_lord_marriage_permission:lord_pretalk|Ulu tanrım – Eğer onu görmene izin vermediysem, sence onunla evlenmene izin verir miyim?
dlga_lord_marriage_permission:lord_pretalk.1|Bu kararı {s11} sadece kendi iradesiyle verebilir. Onun evlilik kararına karışmak bana yakışmaz.
dlga_lord_marriage_permission:lord_pretalk.2|Üzgünüm, evlat – Kızımı {s12} ile evli görmeyi umarken, {s11} ile senin evlenmene razı olamam.
dlga_lord_marriage_permission:lord_marriage_permission_endowment|Harika haberler, genç adam – Ailemize katıldığın için onur duyuyorum. Şimdi seninle evlilik şartlarını konuşalım. Geleneklerimize göre, ikimiz de kızımın beklenmedik durumlara karşın kendisini geçindirebilecek bir mali durumda olmasını sağlamalıyız.
dlga_lord_marriage_permission_endowment:lord_marriage_permission_endowment_answer|Öyle ki, iki ailenin de itibarını göz önünde bulundurursak, ben {reg3} dinar çeyiz sağlayabilirken, sen ise {reg3} dinarlık bir çeyiz sağlamalısın. Bu genç hanımın özel mülkiyeti ve ona gerekli mali durumu sağlayamama ihtimaline karşın bir önlem konumunda olacak. Ne dersin bakalım?
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_engagement_date|Pekala – öyle olsun.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_delay|Bu miktarı şu an karşılayamam.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_no|Bu miktar çok yüksek.
dlga_lord_marriage_permission_endowment_answer_no:close_window|Pekala. Kızımı bir kaç güvenlik önlemi almadan seninle evlenmesine izin verecek değilim ama, öyle değil mi ? Eğer fikrini değiştirecek olursan haber ver.
dlga_lord_marriage_permission_engagement_date:close_window|Harika! Artık resmen kendinizi nişanlı görebilirsiniz. Çok güzel – şartlar uygun olur olmaz {s24} topraklarında muazzam bir tören ayarlayacağım. O gün geldiğinde sana haber göndereceğiz.
dlga_lord_marriage_permission_engagement_date:close_window.1|Ne yazık ki, geriye br tek sorun kaldı – nikahı törenini yapabileceğimiz güvenli bir yer yok. Bunu şimdilik beklemeye alalım.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk|Önemli değil – para toplamak için gerekli zamanın var. Evliliğinin herşeye uygun olmasını istiyorum.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk.1|Bu çok üzücü, fakat eğer kızımın evliliğinin belirsiz bir geleceğe sahip olmasına göz yumsaydım, babalık görevimi ihmal etmiş olurdum.
dlga_lord_talk_ask_something_2:lord_courtship_permission|Acaba, {s12} ile görüşmemize izin verir misiniz?
dlga_lord_courtship_permission:lord_pretalk|Duyduklarıma göre, onunla zaten konuşmuşsunuz – iznim olmadan. Size şunu söyleyeyim: Ben, onun vasi ve lorduyum, ve onunla ilgili planlarım var. Arkamdan kendi hanesindeki kadını bile kontrol edemeyen bir adam diye dalga geçilmesine izin vermeyeceğim.
dlga_lord_courtship_permission:lord_pretalk.1|{s14}
dlga_lord_courtship_permission:lord_pretalk.2|{s12}
dlga_lord_talk_ask_something_2:lord_talk_ask_marriage_1|Ailenizde kalıcı bir birleşme ile yer almam neyi gerektirirdi?
dlga_lord_talk_ask_something_2:lord_pretalk|Boş ver.
dlga_lord_talk_ask_location:lord_talk_ask_location_2|Pekala, belki size cevap verebilirim. Kimin hakkında bilgi istiyorsunuz?
dlga_lord_talk_ask_location_2:lord_talk_ask_location_3|{s1}
dlga_lord_talk_ask_location_2:lady_pretalk|Boş verin.
dlga_lord_talk_ask_location_2:lord_pretalk|Boş ver.
dlga_lord_talk_ask_location_3:lady_pretalk|{s1}
dlga_lord_talk_ask_location_3:lord_pretalk|{s1}
dlga_lord_talk_ask_about_war:lord_talk_ask_about_war_2|{s12}
dlga_lord_talk_ask_about_war_2:lord_talk_ask_about_war_details|Bana {s1} ile olan savaştan bahsedin.
dlga_lord_talk_ask_about_war_2:lord_pretalk|Tüm bilmek istediğim buydu. Teşekkürler.
dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|{s9}.
dlga_lord_talk_ask_about_strategy:lord_strategy_follow_evaluation|{s7} {s9} {s14}
dlga_lord_strategy_follow_evaluation:lord_talk_ask_something_2|Başka bir sorunuz var mı?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up|Liderimiz {s4} haddinden fazla ihtiyatlı.Ya orduyu düşmana saldırmak için kullanmalı ya da bizi evlerimize göndermeli.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.1|Ordumuz hiçbirşey yapmadan olduğu yerde duruyor. Görünüşe göre çok az bey savaş çağrısına cevap verip geldi. Belki de  bu ülkenin büyük beyleri {s4}'{.e} itimat etmiyor.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.2|Bu strateji konusunda sizinle aynı fikirde değilim.{s4}{.i} tercih ederim.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.3|Ben şahsen {s8} '{.e} saldırmayı tercih ederdim, fakat mareşalimiz {s10} {s9} olduğununa inanıyor.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.4|Ben şahsen {s9} yerine {s8}'{.i} savunmayı tercih ederdim.
dlga_lord_strategy_follow_evaluation:lord_talk|Başka birşey var mı?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.5|Bu strateji bana mantıklı gözüküyor.
dlga_lord_strategy_follow_up:lord_strategy_why_not|Eğer saldırıyorsanız, neden …
dlga_lord_strategy_follow_up:lord_talk_ask_something_again|Anladım...
dlga_lord_strategy_follow_up:lord_talk_replace_marshal|O zaman {s4}'{.nin} artık mareşal olmaması gerektiğini mi söylüyorsun? 
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again|Sanıyorum ki ülkemiz mareşali değiştirmeyi tartışmaya başlamadan önce {s4} sorununu çözmelidir.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.1|Evet. Bu konudaki düşüncemi net bir şekilde belirtmiştim. {s5}'{.nin} yerine  {s4}'{.nin} mareşal olması gerektiğine inanıyorum.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.2|Sizin ikna etmenize gerek yok. Bu konu hakkikında kararımı kendim vereceğim.
dlga_lord_talk_replace_marshal:lord_talk_replace_marshal_decision|Hmm...
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again| Evet, öyle söyleyebiliriz. Şu anda artık {s15}'{.i} desteklediğimi söyleyebilirim. Sizinle bu konuşmayı yaptığımıza sevindim, böylece artık bu konu hakkında aynı fikirde olduğumuzu biliyorum.
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again.1| Tam olarak öyle olmak zorunda değil. {s4} ile aramızda strateji konusunda bir fikir ayrılığı olması onu görevinden indirmeyi düşünmemi gerektirmez.
dlga_lord_strategy_why_not:lord_strategy_why_not_select|Evet?
dlga_lord_strategy_why_not_select:lord_talk_ask_something_again|Boşver.
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason|..{s4} üzerine olan saldırıya devam etmiyoruz?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.1|..{s4} bölgesi savunmuyoruz?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.2|..{s4} bölgesini saldırmıyoruz?
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat|{s9}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.1|Mareşalimize ({s11}) göre {s8} {s9}{s10}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.2|Oraya gidebilirdik. {s7} Fakat, {s5} {s3} {s4}. {s6} {s8}.
dlga_lord_talk_why_not_repeat:lord_strategy_why_not_select|Benzer bir sorunuz mu var? Biz neden...
dlga_lord_talk_ask_marriage_1:lord_pretalk|Eğer, bir kral olarak size bunu söylersem alınmayacaksınız. Çocuklarım hakkında başka planlarım var.
